id,received_adjusted,nsb,temperature,device_code,full_moon
148657740,2023-01-05 00:00:08,15.12,25.7,ISTC,No
148657772,2023-01-05 00:00:38,15.13,25.7,ISTC,No
148657802,2023-01-05 00:01:08,15.14,25.7,ISTC,No
148657835,2023-01-05 00:01:38,15.14,25.7,ISTC,No
148657865,2023-01-05 00:02:08,15.13,25.7,ISTC,No
148657897,2023-01-05 00:02:38,15.14,25.7,ISTC,No
148657928,2023-01-05 00:03:08,15.15,25.7,ISTC,No
148657959,2023-01-05 00:03:38,15.17,25.7,ISTC,No
148657989,2023-01-05 00:04:08,15.22,25.7,ISTC,No
148658022,2023-01-05 00:04:38,15.24,25.7,ISTC,No
148658052,2023-01-05 00:05:08,15.26,25.7,ISTC,No
148658083,2023-01-05 00:05:38,15.25,25.7,ISTC,No
148658113,2023-01-05 00:06:08,15.28,25.7,ISTC,No
148658145,2023-01-05 00:06:38,15.28,25.7,ISTC,No
148658175,2023-01-05 00:07:08,15.3,25.7,ISTC,No
148658206,2023-01-05 00:07:38,15.32,25.7,ISTC,No
148658237,2023-01-05 00:08:08,15.32,25.7,ISTC,No
148658270,2023-01-05 00:08:38,15.33,25.7,ISTC,No
148658300,2023-01-05 00:09:08,15.35,25.7,ISTC,No
148658332,2023-01-05 00:09:38,15.4,25.7,ISTC,No
148658362,2023-01-05 00:10:08,15.35,25.4,ISTC,No
148658394,2023-01-05 00:10:38,15.42,25.7,ISTC,No
148658424,2023-01-05 00:11:08,15.38,25.7,ISTC,No
148658455,2023-01-05 00:11:38,15.44,25.7,ISTC,No
148658485,2023-01-05 00:12:08,15.45,25.7,ISTC,No
148658517,2023-01-05 00:12:38,15.46,25.7,ISTC,No
148658548,2023-01-05 00:13:08,15.47,25.4,ISTC,No
148658579,2023-01-05 00:13:38,15.52,25.4,ISTC,No
148658609,2023-01-05 00:14:08,15.5,25.7,ISTC,No
148658642,2023-01-05 00:14:38,15.5,25.7,ISTC,No
148658672,2023-01-05 00:15:08,15.56,25.7,ISTC,No
148658704,2023-01-05 00:15:38,15.51,25.7,ISTC,No
148658734,2023-01-05 00:16:08,15.57,25.4,ISTC,No
148658766,2023-01-05 00:16:38,15.53,25.7,ISTC,No
148658796,2023-01-05 00:17:08,15.58,25.7,ISTC,No
148658828,2023-01-05 00:17:38,15.6,25.7,ISTC,No
148658860,2023-01-05 00:18:08,15.61,25.7,ISTC,No
148658892,2023-01-05 00:18:38,15.65,25.7,ISTC,No
148658922,2023-01-05 00:19:08,15.63,25.7,ISTC,No
148658954,2023-01-05 00:19:38,15.64,25.7,ISTC,No
148658984,2023-01-05 00:20:08,15.64,25.4,ISTC,No
148659016,2023-01-05 00:20:38,15.65,25.7,ISTC,No
148659047,2023-01-05 00:21:08,15.66,25.4,ISTC,No
148659078,2023-01-05 00:21:38,15.7,25.7,ISTC,No
148659108,2023-01-05 00:22:08,15.67,25.7,ISTC,No
148659140,2023-01-05 00:22:38,15.73,25.4,ISTC,No
148659171,2023-01-05 00:23:08,15.73,25.4,ISTC,No
148659202,2023-01-05 00:23:38,15.75,25.7,ISTC,No
148659232,2023-01-05 00:24:08,15.75,25.4,ISTC,No
148659265,2023-01-05 00:24:38,15.83,25.7,ISTC,No
148659295,2023-01-05 00:25:08,15.83,25.4,ISTC,No
148659326,2023-01-05 00:25:38,15.84,25.7,ISTC,No
148659356,2023-01-05 00:26:08,15.84,25.4,ISTC,No
148659388,2023-01-05 00:26:38,15.85,25.4,ISTC,No
148659418,2023-01-05 00:27:08,15.86,25.4,ISTC,No
148659449,2023-01-05 00:27:38,15.86,25.4,ISTC,No
148659481,2023-01-05 00:28:08,15.93,25.4,ISTC,No
148659512,2023-01-05 00:28:38,15.94,25.4,ISTC,No
148659544,2023-01-05 00:29:08,15.95,25.4,ISTC,No
148659577,2023-01-05 00:29:38,15.97,25.4,ISTC,No
148659607,2023-01-05 00:30:08,16.03,25.4,ISTC,No
148659639,2023-01-05 00:30:38,16.03,25.4,ISTC,No
148659668,2023-01-05 00:31:08,16.04,25.4,ISTC,No
148659698,2023-01-05 00:31:38,16.05,25.4,ISTC,No
148659729,2023-01-05 00:32:08,16.06,25.4,ISTC,No
148659762,2023-01-05 00:32:38,16.06,25.4,ISTC,No
148659793,2023-01-05 00:33:08,16.13,25.4,ISTC,No
148659824,2023-01-05 00:33:38,16.13,25.4,ISTC,No
148659854,2023-01-05 00:34:08,16.14,25.4,ISTC,No
148659886,2023-01-05 00:34:38,16.14,25.4,ISTC,No
148659917,2023-01-05 00:35:08,16.15,25.4,ISTC,No
148659948,2023-01-05 00:35:38,16.2,25.4,ISTC,No
148659978,2023-01-05 00:36:08,16.21,25.4,ISTC,No
148660010,2023-01-05 00:36:38,16.21,25.4,ISTC,No
148660041,2023-01-05 00:37:08,16.22,25.4,ISTC,No
148660072,2023-01-05 00:37:38,16.22,25.4,ISTC,No
148660103,2023-01-05 00:38:08,16.22,25.4,ISTC,No
148660136,2023-01-05 00:38:38,16.27,25.4,ISTC,No
148660167,2023-01-05 00:39:08,16.24,25.4,ISTC,No
148660199,2023-01-05 00:39:38,16.29,25.4,ISTC,No
148660229,2023-01-05 00:40:08,16.33,25.4,ISTC,No
148660262,2023-01-05 00:40:38,16.34,25.4,ISTC,No
148660292,2023-01-05 00:41:08,16.35,25.4,ISTC,No
148660323,2023-01-05 00:41:38,16.35,25.4,ISTC,No
148660353,2023-01-05 00:42:08,16.36,25.4,ISTC,No
148660385,2023-01-05 00:42:38,16.41,25.4,ISTC,No
148660416,2023-01-05 00:43:08,16.42,25.4,ISTC,No
148660448,2023-01-05 00:43:38,16.46,25.4,ISTC,No
148660478,2023-01-05 00:44:08,16.47,25.4,ISTC,No
148660511,2023-01-05 00:44:38,16.48,25.4,ISTC,No
148660541,2023-01-05 00:45:08,16.49,25.4,ISTC,No
148660573,2023-01-05 00:45:38,16.5,25.4,ISTC,No
148660603,2023-01-05 00:46:08,16.54,25.4,ISTC,No
148660635,2023-01-05 00:46:38,16.54,25.4,ISTC,No
148660665,2023-01-05 00:47:08,16.59,25.4,ISTC,No
148660695,2023-01-05 00:47:38,16.6,25.4,ISTC,No
148660727,2023-01-05 00:48:08,16.63,25.4,ISTC,No
148660760,2023-01-05 00:48:38,16.61,25.4,ISTC,No
148660790,2023-01-05 00:49:08,16.66,25.4,ISTC,No
148660822,2023-01-05 00:49:38,16.66,25.4,ISTC,No
148660852,2023-01-05 00:50:08,16.7,25.4,ISTC,No
148660885,2023-01-05 00:50:38,16.74,25.4,ISTC,No
148660915,2023-01-05 00:51:08,16.75,25.4,ISTC,No
148660946,2023-01-05 00:51:38,16.75,25.4,ISTC,No
148660977,2023-01-05 00:52:08,16.76,25.4,ISTC,No
148661008,2023-01-05 00:52:38,16.76,25.4,ISTC,No
148661039,2023-01-05 00:53:08,16.79,25.4,ISTC,No
148661069,2023-01-05 00:53:38,16.82,25.4,ISTC,No
148661099,2023-01-05 00:54:08,16.84,25.4,ISTC,No
148661133,2023-01-05 00:54:38,16.83,25.4,ISTC,No
148661163,2023-01-05 00:55:08,16.84,25.4,ISTC,No
148661195,2023-01-05 00:55:38,16.84,25.4,ISTC,No
148661225,2023-01-05 00:56:08,16.84,25.4,ISTC,No
148661257,2023-01-05 00:56:38,16.88,25.4,ISTC,No
148661287,2023-01-05 00:57:08,16.89,25.4,ISTC,No
148661318,2023-01-05 00:57:38,16.9,25.4,ISTC,No
148661349,2023-01-05 00:58:08,16.92,25.4,ISTC,No
148661381,2023-01-05 00:58:38,16.93,25.4,ISTC,No
148661412,2023-01-05 00:59:08,16.95,25.4,ISTC,No
148661445,2023-01-05 00:59:38,16.96,25.4,ISTC,No
148661476,2023-01-05 01:00:08,16.99,25.4,ISTC,No
148661509,2023-01-05 01:00:38,17.0,25.4,ISTC,No
148661539,2023-01-05 01:01:08,17.01,25.4,ISTC,No
148661570,2023-01-05 01:01:38,17.03,25.4,ISTC,No
148661601,2023-01-05 01:02:08,17.04,25.4,ISTC,No
148661633,2023-01-05 01:02:38,17.05,25.4,ISTC,No
148661664,2023-01-05 01:03:08,17.09,25.4,ISTC,No
148661696,2023-01-05 01:03:38,17.09,25.4,ISTC,No
148661726,2023-01-05 01:04:08,17.11,25.4,ISTC,No
148661760,2023-01-05 01:04:38,17.14,25.4,ISTC,No
148661790,2023-01-05 01:05:08,17.17,25.4,ISTC,No
148661822,2023-01-05 01:05:38,17.18,25.4,ISTC,No
148661852,2023-01-05 01:06:08,17.2,25.4,ISTC,No
148661884,2023-01-05 01:06:38,17.21,25.4,ISTC,No
148661915,2023-01-05 01:07:08,17.21,25.4,ISTC,No
148661946,2023-01-05 01:07:38,17.24,25.4,ISTC,No
148661977,2023-01-05 01:08:08,17.26,25.4,ISTC,No
148662009,2023-01-05 01:08:38,17.29,25.4,ISTC,No
148662040,2023-01-05 01:09:08,17.27,25.4,ISTC,No
148662073,2023-01-05 01:09:38,17.3,25.4,ISTC,No
148662103,2023-01-05 01:10:08,17.3,25.4,ISTC,No
148662137,2023-01-05 01:10:38,17.32,25.4,ISTC,No
148662167,2023-01-05 01:11:08,17.33,25.4,ISTC,No
148662197,2023-01-05 01:11:38,17.35,25.4,ISTC,No
