id,received_adjusted,nsb,temperature,device_code,full_moon
132515137,2022-07-01 18:00:21,0.0,36.7,ISTC,No
132515165,2022-07-01 18:00:51,0.0,36.7,ISTC,No
132515192,2022-07-01 18:01:21,0.0,36.7,ISTC,No
132515218,2022-07-01 18:01:51,0.0,36.7,ISTC,No
132515246,2022-07-01 18:02:21,0.0,36.7,ISTC,No
132515272,2022-07-01 18:02:51,0.0,36.4,ISTC,No
132515300,2022-07-01 18:03:21,0.0,36.7,ISTC,No
132515326,2022-07-01 18:03:51,0.0,36.4,ISTC,No
132515354,2022-07-01 18:04:21,0.0,36.7,ISTC,No
132515381,2022-07-01 18:04:51,0.0,36.4,ISTC,No
132515408,2022-07-01 18:05:21,0.0,36.4,ISTC,No
132515435,2022-07-01 18:05:51,0.0,36.4,ISTC,No
132515463,2022-07-01 18:06:21,0.0,36.4,ISTC,No
132515490,2022-07-01 18:06:51,0.0,36.4,ISTC,No
132515517,2022-07-01 18:07:21,0.0,36.4,ISTC,No
132515543,2022-07-01 18:07:51,0.0,36.4,ISTC,No
132515571,2022-07-01 18:08:21,0.0,36.4,ISTC,No
132515598,2022-07-01 18:08:51,0.0,36.4,ISTC,No
132515625,2022-07-01 18:09:21,0.0,36.4,ISTC,No
132515651,2022-07-01 18:09:51,0.0,36.4,ISTC,No
132515680,2022-07-01 18:10:22,0.0,36.4,ISTC,No
132515708,2022-07-01 18:10:52,0.0,36.0,ISTC,No
132515738,2022-07-01 18:11:24,0.0,36.4,ISTC,No
132515764,2022-07-01 18:11:54,0.0,36.4,ISTC,No
132515792,2022-07-01 18:12:24,0.0,36.0,ISTC,No
132515819,2022-07-01 18:12:54,0.0,36.4,ISTC,No
132515846,2022-07-01 18:13:24,0.0,36.0,ISTC,No
132515873,2022-07-01 18:13:55,0.0,36.0,ISTC,No
132515901,2022-07-01 18:14:25,0.0,36.0,ISTC,No
132515931,2022-07-01 18:14:57,0.0,36.0,ISTC,No
132515960,2022-07-01 18:15:27,0.0,36.0,ISTC,No
132515986,2022-07-01 18:15:59,0.0,36.0,ISTC,No
132516014,2022-07-01 18:16:29,0.0,36.0,ISTC,No
132516043,2022-07-01 18:17:01,0.0,36.0,ISTC,No
132516070,2022-07-01 18:17:31,0.0,35.7,ISTC,No
132516097,2022-07-01 18:18:03,0.0,35.7,ISTC,No
132516125,2022-07-01 18:18:33,0.0,36.0,ISTC,No
132516153,2022-07-01 18:19:05,0.0,36.0,ISTC,No
132516180,2022-07-01 18:19:35,0.0,35.7,ISTC,No
132516208,2022-07-01 18:20:07,0.0,35.7,ISTC,No
132516238,2022-07-01 18:20:37,0.0,35.7,ISTC,No
132516265,2022-07-01 18:21:09,0.0,35.7,ISTC,No
132516292,2022-07-01 18:21:39,0.0,35.7,ISTC,No
132516320,2022-07-01 18:22:11,0.0,35.7,ISTC,No
132516348,2022-07-01 18:22:41,0.0,35.7,ISTC,No
132516378,2022-07-01 18:23:13,0.0,35.4,ISTC,No
132516405,2022-07-01 18:23:43,0.0,35.4,ISTC,No
132516432,2022-07-01 18:24:14,0.0,35.7,ISTC,No
132516460,2022-07-01 18:24:44,0.0,35.7,ISTC,No
132516488,2022-07-01 18:25:16,0.0,35.4,ISTC,No
132516515,2022-07-01 18:25:46,0.0,35.4,ISTC,No
132516547,2022-07-01 18:26:18,0.0,35.4,ISTC,No
132516574,2022-07-01 18:26:48,0.0,35.4,ISTC,No
132516601,2022-07-01 18:27:18,0.0,35.4,ISTC,No
132516627,2022-07-01 18:27:48,0.0,35.4,ISTC,No
132516655,2022-07-01 18:28:18,0.0,35.4,ISTC,No
132516684,2022-07-01 18:28:50,0.0,35.4,ISTC,No
132516711,2022-07-01 18:29:20,0.0,35.4,ISTC,No
132516738,2022-07-01 18:29:52,0.0,35.1,ISTC,No
132516767,2022-07-01 18:30:22,0.0,35.4,ISTC,No
132516797,2022-07-01 18:30:53,0.0,35.4,ISTC,No
132516824,2022-07-01 18:31:23,0.0,35.1,ISTC,No
132516850,2022-07-01 18:31:53,0.0,35.4,ISTC,No
132516878,2022-07-01 18:32:23,0.0,35.4,ISTC,No
132516905,2022-07-01 18:32:53,0.0,35.4,ISTC,No
132516932,2022-07-01 18:33:23,0.0,35.1,ISTC,No
132516958,2022-07-01 18:33:53,0.0,35.4,ISTC,No
132516986,2022-07-01 18:34:23,0.0,35.1,ISTC,No
132517013,2022-07-01 18:34:53,0.0,35.1,ISTC,No
132517040,2022-07-01 18:35:23,0.0,35.1,ISTC,No
132517067,2022-07-01 18:35:53,0.0,35.1,ISTC,No
132517095,2022-07-01 18:36:23,0.0,35.1,ISTC,No
132517122,2022-07-01 18:36:53,5.87,35.1,ISTC,No
132517149,2022-07-01 18:37:23,5.98,35.1,ISTC,No
132517175,2022-07-01 18:37:53,5.99,34.8,ISTC,No
132517202,2022-07-01 18:38:23,5.96,34.8,ISTC,No
132517231,2022-07-01 18:38:55,5.94,34.8,ISTC,No
132517258,2022-07-01 18:39:25,6.0,34.8,ISTC,No
132517284,2022-07-01 18:39:55,6.06,34.8,ISTC,No
132517313,2022-07-01 18:40:25,6.09,34.8,ISTC,No
132517340,2022-07-01 18:40:55,6.09,34.8,ISTC,No
132517370,2022-07-01 18:41:26,6.08,34.8,ISTC,No
132517396,2022-07-01 18:41:56,6.09,34.8,ISTC,No
132517425,2022-07-01 18:42:28,6.15,34.8,ISTC,No
132517452,2022-07-01 18:42:58,6.24,34.8,ISTC,No
132517481,2022-07-01 18:43:30,6.33,34.4,ISTC,No
132517507,2022-07-01 18:44:00,6.35,34.8,ISTC,No
132517535,2022-07-01 18:44:32,6.3,34.4,ISTC,No
132517562,2022-07-01 18:45:02,6.31,34.8,ISTC,No
132517591,2022-07-01 18:45:32,6.35,34.4,ISTC,No
132517617,2022-07-01 18:46:02,6.35,34.8,ISTC,No
132517645,2022-07-01 18:46:32,6.34,34.4,ISTC,No
132517672,2022-07-01 18:47:02,6.29,34.4,ISTC,No
132517699,2022-07-01 18:47:32,6.24,34.4,ISTC,No
132517725,2022-07-01 18:48:02,6.24,34.4,ISTC,No
132517753,2022-07-01 18:48:32,6.28,34.8,ISTC,No
132517780,2022-07-01 18:49:02,6.3,34.4,ISTC,No
132517807,2022-07-01 18:49:32,6.32,34.4,ISTC,No
132517833,2022-07-01 18:50:02,6.32,34.4,ISTC,No
132517862,2022-07-01 18:50:32,6.32,34.4,ISTC,No
