id,received_adjusted,nsb,temperature,device_code,full_moon
135023679,2022-08-01 18:00:30,0.0,38.3,ISTC,No
135023708,2022-08-01 18:01:00,0.0,38.0,ISTC,No
135023736,2022-08-01 18:01:30,0.0,38.0,ISTC,No
135023764,2022-08-01 18:02:00,0.0,38.0,ISTC,No
135023793,2022-08-01 18:02:30,0.0,38.0,ISTC,No
135023822,2022-08-01 18:03:01,0.0,38.0,ISTC,No
135023851,2022-08-01 18:03:31,0.0,38.0,ISTC,No
135023880,2022-08-01 18:04:03,0.0,38.0,ISTC,No
135023911,2022-08-01 18:04:33,0.0,38.0,ISTC,No
135023940,2022-08-01 18:05:05,0.0,38.0,ISTC,No
135023971,2022-08-01 18:05:35,0.0,38.0,ISTC,No
135024001,2022-08-01 18:06:07,0.0,38.0,ISTC,No
135024030,2022-08-01 18:06:37,0.0,38.0,ISTC,No
135024058,2022-08-01 18:07:08,0.0,37.7,ISTC,No
135024086,2022-08-01 18:07:38,0.0,37.7,ISTC,No
135024117,2022-08-01 18:08:10,0.0,38.0,ISTC,No
135024145,2022-08-01 18:08:40,0.0,37.7,ISTC,No
135024173,2022-08-01 18:09:12,0.0,37.7,ISTC,No
135024201,2022-08-01 18:09:42,0.0,37.7,ISTC,No
135024231,2022-08-01 18:10:13,0.0,38.0,ISTC,No
135024260,2022-08-01 18:10:43,0.0,37.7,ISTC,No
135024293,2022-08-01 18:11:15,0.0,37.7,ISTC,No
135024322,2022-08-01 18:11:45,0.0,37.7,ISTC,No
135024353,2022-08-01 18:12:17,0.0,37.7,ISTC,No
135024381,2022-08-01 18:12:47,5.87,37.7,ISTC,No
135024410,2022-08-01 18:13:18,5.93,37.3,ISTC,No
135024438,2022-08-01 18:13:48,5.98,37.7,ISTC,No
135024475,2022-08-01 18:14:20,6.02,37.7,ISTC,No
135024504,2022-08-01 18:14:50,6.04,37.7,ISTC,No
135024537,2022-08-01 18:15:22,6.04,37.7,ISTC,No
135024567,2022-08-01 18:15:52,6.01,37.7,ISTC,No
135024599,2022-08-01 18:16:24,5.94,37.7,ISTC,No
135024628,2022-08-01 18:16:54,5.85,37.3,ISTC,No
135024656,2022-08-01 18:17:24,0.0,37.7,ISTC,No
135024685,2022-08-01 18:17:54,0.0,37.3,ISTC,No
135024714,2022-08-01 18:18:24,0.0,37.7,ISTC,No
135024742,2022-08-01 18:18:54,0.0,37.7,ISTC,No
135024770,2022-08-01 18:19:24,0.0,37.7,ISTC,No
135024798,2022-08-01 18:19:54,0.0,37.7,ISTC,No
135024829,2022-08-01 18:20:24,0.0,37.3,ISTC,No
135024857,2022-08-01 18:20:54,0.0,37.3,ISTC,No
135024885,2022-08-01 18:21:24,0.0,37.7,ISTC,No
135024913,2022-08-01 18:21:54,0.0,37.7,ISTC,No
135024942,2022-08-01 18:22:24,0.0,37.3,ISTC,No
135024970,2022-08-01 18:22:54,0.0,37.3,ISTC,No
135024998,2022-08-01 18:23:24,0.0,37.3,ISTC,No
135025027,2022-08-01 18:23:54,0.0,37.3,ISTC,No
135025057,2022-08-01 18:24:24,0.0,37.3,ISTC,No
135025087,2022-08-01 18:24:55,0.0,37.3,ISTC,No
135025118,2022-08-01 18:25:25,0.0,37.3,ISTC,No
135025147,2022-08-01 18:25:55,0.0,37.3,ISTC,No
135025177,2022-08-01 18:26:25,0.0,37.3,ISTC,No
135025206,2022-08-01 18:26:55,0.0,37.3,ISTC,No
135025236,2022-08-01 18:27:26,5.87,37.0,ISTC,No
