id,received_adjusted,nsb,temperature,device_code,full_moon
137313214,2022-09-01 18:00:05,0.0,40.2,ISTC,No
137313244,2022-09-01 18:00:35,0.0,40.2,ISTC,No
137313271,2022-09-01 18:01:05,0.0,40.2,ISTC,No
137313298,2022-09-01 18:01:35,0.0,40.2,ISTC,No
137313325,2022-09-01 18:02:05,0.0,40.2,ISTC,No
137313355,2022-09-01 18:02:37,0.0,40.2,ISTC,No
137313381,2022-09-01 18:03:07,0.0,40.2,ISTC,No
137313411,2022-09-01 18:03:39,0.0,40.2,ISTC,No
137313438,2022-09-01 18:04:09,0.0,40.2,ISTC,No
137313466,2022-09-01 18:04:39,0.0,40.2,ISTC,No
137313495,2022-09-01 18:05:09,0.0,40.2,ISTC,No
137313524,2022-09-01 18:05:39,0.0,40.2,ISTC,No
137313551,2022-09-01 18:06:09,0.0,39.9,ISTC,No
137313580,2022-09-01 18:06:40,0.0,40.2,ISTC,No
137313607,2022-09-01 18:07:10,0.0,39.9,ISTC,No
137313634,2022-09-01 18:07:41,0.0,39.9,ISTC,No
137313662,2022-09-01 18:08:11,0.0,39.9,ISTC,No
137313691,2022-09-01 18:08:41,0.0,39.9,ISTC,No
137313717,2022-09-01 18:09:13,0.0,39.9,ISTC,No
137313745,2022-09-01 18:09:43,0.0,39.9,ISTC,No
137313776,2022-09-01 18:10:15,0.0,39.9,ISTC,No
137313804,2022-09-01 18:10:45,0.0,39.9,ISTC,No
137313831,2022-09-01 18:11:15,0.0,39.6,ISTC,No
137313860,2022-09-01 18:11:45,0.0,39.6,ISTC,No
137313887,2022-09-01 18:12:15,5.88,39.6,ISTC,No
137313916,2022-09-01 18:12:46,5.96,39.6,ISTC,No
137313942,2022-09-01 18:13:16,6.04,39.6,ISTC,No
137313970,2022-09-01 18:13:46,6.1,39.6,ISTC,No
137313997,2022-09-01 18:14:16,6.16,39.6,ISTC,No
137314025,2022-09-01 18:14:46,6.22,39.6,ISTC,No
137314053,2022-09-01 18:15:17,6.28,39.6,ISTC,No
137314083,2022-09-01 18:15:47,6.34,39.6,ISTC,No
137314111,2022-09-01 18:16:17,6.41,39.6,ISTC,No
137314138,2022-09-01 18:16:47,6.49,39.6,ISTC,No
137314165,2022-09-01 18:17:17,6.56,39.3,ISTC,No
137314191,2022-09-01 18:17:47,6.64,39.3,ISTC,No
137314219,2022-09-01 18:18:17,6.71,39.3,ISTC,No
137314248,2022-09-01 18:18:47,6.78,39.3,ISTC,No
137314279,2022-09-01 18:19:18,6.84,39.3,ISTC,No
137314307,2022-09-01 18:19:48,6.89,39.3,ISTC,No
137314336,2022-09-01 18:20:20,6.93,39.3,ISTC,No
137314366,2022-09-01 18:20:50,6.96,39.3,ISTC,No
137314395,2022-09-01 18:21:21,6.99,39.0,ISTC,No
137314423,2022-09-01 18:21:51,7.02,39.3,ISTC,No
137314450,2022-09-01 18:22:23,7.05,39.3,ISTC,No
137314477,2022-09-01 18:22:53,7.07,39.0,ISTC,No
137314506,2022-09-01 18:23:25,7.08,39.0,ISTC,No
137314534,2022-09-01 18:23:55,7.11,39.0,ISTC,No
137314562,2022-09-01 18:24:27,7.12,39.0,ISTC,No
137314590,2022-09-01 18:24:57,7.13,39.0,ISTC,No
137314621,2022-09-01 18:25:29,7.14,39.0,ISTC,No
137314649,2022-09-01 18:25:59,7.13,39.0,ISTC,No
137314677,2022-09-01 18:26:29,7.12,39.0,ISTC,No
137314703,2022-09-01 18:26:59,7.1,39.0,ISTC,No
137314731,2022-09-01 18:27:29,7.08,39.0,ISTC,No
137314758,2022-09-01 18:28:00,6.98,38.6,ISTC,No
137314787,2022-09-01 18:28:30,6.95,38.6,ISTC,No
137314817,2022-09-01 18:29:02,6.91,39.0,ISTC,No
137314844,2022-09-01 18:29:32,6.85,39.0,ISTC,No
137314873,2022-09-01 18:30:02,6.81,38.6,ISTC,No
137314903,2022-09-01 18:30:32,6.76,38.6,ISTC,No
137314929,2022-09-01 18:31:02,6.7,38.6,ISTC,No
137314957,2022-09-01 18:31:33,6.7,38.6,ISTC,No
137314984,2022-09-01 18:32:03,6.72,38.6,ISTC,No
137315013,2022-09-01 18:32:35,6.78,38.6,ISTC,No
137315040,2022-09-01 18:33:05,6.89,38.6,ISTC,No
137315068,2022-09-01 18:33:35,7.0,38.6,ISTC,No
137315097,2022-09-01 18:34:07,7.12,38.6,ISTC,No
137315125,2022-09-01 18:34:37,7.26,38.6,ISTC,No
137315155,2022-09-01 18:35:08,7.4,38.3,ISTC,No
137315184,2022-09-01 18:35:38,7.54,38.6,ISTC,No
137315238,2022-09-01 18:36:38,7.73,38.3,ISTC,No
137315265,2022-09-01 18:37:08,7.83,38.3,ISTC,No
137315293,2022-09-01 18:37:40,7.96,38.6,ISTC,No
137315320,2022-09-01 18:38:10,8.07,38.3,ISTC,No
137315350,2022-09-01 18:38:42,8.16,38.3,ISTC,No
137315376,2022-09-01 18:39:12,8.24,38.3,ISTC,No
137315404,2022-09-01 18:39:42,8.32,38.3,ISTC,No
137315431,2022-09-01 18:40:12,8.39,38.3,ISTC,No
137315462,2022-09-01 18:40:42,8.46,38.3,ISTC,No
137315488,2022-09-01 18:41:12,8.54,38.3,ISTC,No
137315516,2022-09-01 18:41:42,8.62,38.3,ISTC,No
137315542,2022-09-01 18:42:12,8.7,38.3,ISTC,No
137315570,2022-09-01 18:42:42,8.78,38.3,ISTC,No
137315597,2022-09-01 18:43:12,8.85,38.3,ISTC,No
137315625,2022-09-01 18:43:42,8.91,38.3,ISTC,No
137315651,2022-09-01 18:44:12,8.98,38.3,ISTC,No
137315680,2022-09-01 18:44:42,9.07,38.3,ISTC,No
137315706,2022-09-01 18:45:13,9.17,38.0,ISTC,No
137315736,2022-09-01 18:45:43,9.26,38.0,ISTC,No
137315765,2022-09-01 18:46:15,9.36,38.0,ISTC,No
137315793,2022-09-01 18:46:45,9.46,38.0,ISTC,No
137315820,2022-09-01 18:47:16,9.56,38.0,ISTC,No
137315847,2022-09-01 18:47:46,9.65,38.0,ISTC,No
137315874,2022-09-01 18:48:16,9.75,38.0,ISTC,No
137315904,2022-09-01 18:48:46,9.85,38.0,ISTC,No
137315930,2022-09-01 18:49:16,9.94,38.0,ISTC,No
137315958,2022-09-01 18:49:46,10.04,38.0,ISTC,No
137315985,2022-09-01 18:50:16,10.14,38.0,ISTC,No
137316015,2022-09-01 18:50:46,10.26,38.0,ISTC,No
137316041,2022-09-01 18:51:16,10.37,38.0,ISTC,No
137316069,2022-09-01 18:51:46,10.48,38.0,ISTC,No
137316096,2022-09-01 18:52:16,10.6,38.0,ISTC,No
137316123,2022-09-01 18:52:46,10.72,38.0,ISTC,No
137316150,2022-09-01 18:53:16,10.85,38.0,ISTC,No
137316183,2022-09-01 18:53:48,11.0,38.0,ISTC,No
137316210,2022-09-01 18:54:18,11.14,38.0,ISTC,No
137316238,2022-09-01 18:54:50,11.28,38.0,ISTC,No
137316264,2022-09-01 18:55:20,11.42,38.0,ISTC,No
137316293,2022-09-01 18:55:50,11.55,38.0,ISTC,No
137316320,2022-09-01 18:56:20,11.69,37.7,ISTC,No
137316347,2022-09-01 18:56:50,11.87,37.7,ISTC,No
137316373,2022-09-01 18:57:20,12.07,37.7,ISTC,No
137316399,2022-09-01 18:57:50,12.27,37.7,ISTC,No
137316430,2022-09-01 18:58:22,12.46,37.7,ISTC,No
137316457,2022-09-01 18:58:52,12.63,37.7,ISTC,No
137316484,2022-09-01 18:59:24,12.82,37.7,ISTC,No
137316510,2022-09-01 18:59:54,13.0,37.7,ISTC,No
137316537,2022-09-01 19:00:25,13.16,37.7,ISTC,No
137316564,2022-09-01 19:00:55,13.32,37.7,ISTC,No
137316589,2022-09-01 19:01:25,13.48,37.7,ISTC,No
137316614,2022-09-01 19:01:55,13.64,37.7,ISTC,No
137316641,2022-09-01 19:02:25,13.8,37.7,ISTC,No
137316667,2022-09-01 19:02:57,13.97,37.7,ISTC,No
137316693,2022-09-01 19:03:27,14.14,37.7,ISTC,No
137316719,2022-09-01 19:03:57,14.31,37.7,ISTC,No
137316745,2022-09-01 19:04:27,14.48,37.7,ISTC,No
137316771,2022-09-01 19:04:57,14.68,37.7,ISTC,No
137316797,2022-09-01 19:05:27,14.81,37.7,ISTC,No
137316824,2022-09-01 19:05:57,14.96,37.7,ISTC,No
137316850,2022-09-01 19:06:27,15.2,37.7,ISTC,No
137316876,2022-09-01 19:06:57,15.32,37.3,ISTC,No
137316901,2022-09-01 19:07:27,15.49,37.7,ISTC,No
137316927,2022-09-01 19:07:57,15.7,37.7,ISTC,No
137316955,2022-09-01 19:08:29,15.86,37.7,ISTC,No
137316980,2022-09-01 19:08:59,16.03,37.7,ISTC,No
137317010,2022-09-01 19:09:31,16.17,37.7,ISTC,No
137317036,2022-09-01 19:10:01,16.3,37.3,ISTC,No
137317064,2022-09-01 19:10:33,16.49,37.7,ISTC,No
137317090,2022-09-01 19:11:03,16.64,37.7,ISTC,No
137317115,2022-09-01 19:11:34,16.76,37.7,ISTC,No
137317141,2022-09-01 19:12:04,16.89,37.7,ISTC,No
137317167,2022-09-01 19:12:34,17.0,37.3,ISTC,No
137317193,2022-09-01 19:13:04,17.14,37.3,ISTC,No
137317218,2022-09-01 19:13:34,17.24,37.3,ISTC,No
137317245,2022-09-01 19:14:06,17.38,37.3,ISTC,No
137317271,2022-09-01 19:14:36,17.49,37.3,ISTC,No
137317297,2022-09-01 19:15:06,17.58,37.3,ISTC,No
137317324,2022-09-01 19:15:36,17.69,37.3,ISTC,No
137317350,2022-09-01 19:16:06,17.79,37.3,ISTC,No
137317378,2022-09-01 19:16:37,17.88,37.3,ISTC,No
137317404,2022-09-01 19:17:07,17.96,37.3,ISTC,No
137317430,2022-09-01 19:17:39,18.06,37.3,ISTC,No
137317456,2022-09-01 19:18:09,18.14,37.3,ISTC,No
137317484,2022-09-01 19:18:41,18.23,37.3,ISTC,No
137317510,2022-09-01 19:19:11,18.31,37.3,ISTC,No
137317535,2022-09-01 19:19:41,18.38,37.3,ISTC,No
137317561,2022-09-01 19:20:11,18.45,37.3,ISTC,No
137317590,2022-09-01 19:20:41,18.51,37.0,ISTC,No
137317616,2022-09-01 19:21:11,18.58,37.0,ISTC,No
137317641,2022-09-01 19:21:41,18.63,37.0,ISTC,No
137317668,2022-09-01 19:22:13,18.69,37.0,ISTC,No
