id,received_adjusted,nsb,temperature,device_code,full_moon
139920776,2022-10-01 18:00:05,6.34,33.8,ISTC,No
139920812,2022-10-01 18:00:35,6.38,34.1,ISTC,No
139920846,2022-10-01 18:01:05,6.42,34.1,ISTC,No
139920879,2022-10-01 18:01:35,6.47,34.1,ISTC,No
139920912,2022-10-01 18:02:05,6.52,33.8,ISTC,No
139920946,2022-10-01 18:02:35,6.57,34.1,ISTC,No
139920979,2022-10-01 18:03:05,6.62,34.1,ISTC,No
139921012,2022-10-01 18:03:35,6.67,33.8,ISTC,No
139921044,2022-10-01 18:04:05,6.73,33.8,ISTC,No
139921079,2022-10-01 18:04:35,6.79,34.1,ISTC,No
139921113,2022-10-01 18:05:05,6.86,34.1,ISTC,No
139921148,2022-10-01 18:05:35,6.94,33.8,ISTC,No
139921182,2022-10-01 18:06:05,7.01,33.8,ISTC,No
139921216,2022-10-01 18:06:35,7.07,33.8,ISTC,No
139921248,2022-10-01 18:07:05,7.14,33.8,ISTC,No
139921282,2022-10-01 18:07:35,7.21,33.8,ISTC,No
139921315,2022-10-01 18:08:05,7.3,33.8,ISTC,No
139921349,2022-10-01 18:08:35,7.41,33.8,ISTC,No
139921382,2022-10-01 18:09:05,7.53,33.8,ISTC,No
139921416,2022-10-01 18:09:35,7.62,33.8,ISTC,No
139921449,2022-10-01 18:10:05,7.71,33.8,ISTC,No
139921485,2022-10-01 18:10:35,7.8,33.8,ISTC,No
139921520,2022-10-01 18:11:05,7.87,33.8,ISTC,No
139921552,2022-10-01 18:11:35,7.92,33.8,ISTC,No
139921586,2022-10-01 18:12:05,7.98,33.8,ISTC,No
139921620,2022-10-01 18:12:35,8.06,33.8,ISTC,No
139921653,2022-10-01 18:13:05,8.12,33.8,ISTC,No
139921686,2022-10-01 18:13:35,8.18,33.8,ISTC,No
139921719,2022-10-01 18:14:05,8.27,33.8,ISTC,No
139921754,2022-10-01 18:14:35,8.33,33.5,ISTC,No
139921788,2022-10-01 18:15:05,8.41,33.8,ISTC,No
139921823,2022-10-01 18:15:35,8.49,33.8,ISTC,No
139921857,2022-10-01 18:16:05,8.55,33.8,ISTC,No
139921891,2022-10-01 18:16:35,8.62,33.8,ISTC,No
139921923,2022-10-01 18:17:05,8.72,33.8,ISTC,No
139921957,2022-10-01 18:17:35,8.85,33.8,ISTC,No
139921990,2022-10-01 18:18:05,9.07,33.8,ISTC,No
139922024,2022-10-01 18:18:35,9.31,33.5,ISTC,No
139922057,2022-10-01 18:19:05,9.57,33.8,ISTC,No
139922090,2022-10-01 18:19:35,9.87,33.8,ISTC,No
139922124,2022-10-01 18:20:05,9.93,33.8,ISTC,No
139922160,2022-10-01 18:20:35,9.93,33.8,ISTC,No
139922194,2022-10-01 18:21:05,9.87,33.8,ISTC,No
139922226,2022-10-01 18:21:35,9.86,33.8,ISTC,No
139922260,2022-10-01 18:22:05,9.92,33.8,ISTC,No
139922294,2022-10-01 18:22:35,10.03,33.8,ISTC,No
139922327,2022-10-01 18:23:05,10.26,33.8,ISTC,No
139922360,2022-10-01 18:23:35,10.54,33.8,ISTC,No
139922393,2022-10-01 18:24:05,10.75,33.8,ISTC,No
139922427,2022-10-01 18:24:35,10.82,33.8,ISTC,No
139922461,2022-10-01 18:25:05,10.82,33.8,ISTC,No
139922496,2022-10-01 18:25:35,10.83,33.8,ISTC,No
