id,received_adjusted,nsb,temperature,device_code,full_moon
142712930,2022-11-01 18:00:05,9.1,32.5,ISTC,No
142712963,2022-11-01 18:00:35,9.2,32.5,ISTC,No
142712995,2022-11-01 18:01:05,9.3,32.5,ISTC,No
142713026,2022-11-01 18:01:35,9.4,32.5,ISTC,No
142713058,2022-11-01 18:02:05,9.51,32.5,ISTC,No
142713093,2022-11-01 18:02:37,9.63,32.5,ISTC,No
142713124,2022-11-01 18:03:07,9.75,32.5,ISTC,No
142713155,2022-11-01 18:03:37,9.88,32.5,ISTC,No
142713187,2022-11-01 18:04:07,10.01,32.5,ISTC,No
142713221,2022-11-01 18:04:37,10.13,32.5,ISTC,No
142713255,2022-11-01 18:05:08,10.25,32.2,ISTC,No
142713286,2022-11-01 18:05:38,10.4,32.2,ISTC,No
142713319,2022-11-01 18:06:08,10.56,32.2,ISTC,No
142713352,2022-11-01 18:06:38,10.73,32.2,ISTC,No
142713383,2022-11-01 18:07:08,10.89,32.2,ISTC,No
142713415,2022-11-01 18:07:38,11.02,32.2,ISTC,No
142713446,2022-11-01 18:08:08,11.15,32.2,ISTC,No
142713479,2022-11-01 18:08:38,11.28,32.2,ISTC,No
142713510,2022-11-01 18:09:08,11.42,32.2,ISTC,No
142713543,2022-11-01 18:09:38,11.55,32.2,ISTC,No
142713575,2022-11-01 18:10:08,11.69,32.2,ISTC,No
142713608,2022-11-01 18:10:38,11.84,32.2,ISTC,No
142713640,2022-11-01 18:11:08,11.98,32.2,ISTC,No
142713674,2022-11-01 18:11:40,12.14,32.2,ISTC,No
142713706,2022-11-01 18:12:10,12.3,32.2,ISTC,No
142713739,2022-11-01 18:12:41,12.45,32.2,ISTC,No
142713770,2022-11-01 18:13:11,12.6,32.2,ISTC,No
142713803,2022-11-01 18:13:43,12.76,32.2,ISTC,No
142713835,2022-11-01 18:14:13,12.91,32.2,ISTC,No
142713870,2022-11-01 18:14:45,13.06,32.2,ISTC,No
142713902,2022-11-01 18:15:15,13.2,32.2,ISTC,No
142713934,2022-11-01 18:15:45,13.36,31.9,ISTC,No
142713967,2022-11-01 18:16:15,13.5,32.2,ISTC,No
142713999,2022-11-01 18:16:45,13.65,32.2,ISTC,No
142714030,2022-11-01 18:17:16,13.8,32.2,ISTC,No
142714062,2022-11-01 18:17:46,13.95,31.9,ISTC,No
142714095,2022-11-01 18:18:18,14.1,31.9,ISTC,No
142714127,2022-11-01 18:18:48,14.25,31.9,ISTC,No
142714162,2022-11-01 18:19:20,14.41,31.9,ISTC,No
142714194,2022-11-01 18:19:50,14.56,31.9,ISTC,No
142714228,2022-11-01 18:20:20,14.73,31.9,ISTC,No
142714259,2022-11-01 18:20:51,14.85,31.9,ISTC,No
142714292,2022-11-01 18:21:21,14.96,31.9,ISTC,No
142714323,2022-11-01 18:21:53,15.15,31.9,ISTC,No
142714355,2022-11-01 18:22:23,15.29,31.9,ISTC,No
142714387,2022-11-01 18:22:53,15.44,31.9,ISTC,No
142714419,2022-11-01 18:23:23,15.52,31.9,ISTC,No
142714450,2022-11-01 18:23:53,15.71,31.9,ISTC,No
142714484,2022-11-01 18:24:23,15.83,31.9,ISTC,No
142714514,2022-11-01 18:24:53,15.94,31.9,ISTC,No
142714547,2022-11-01 18:25:23,16.06,31.9,ISTC,No
142714579,2022-11-01 18:25:53,16.2,31.9,ISTC,No
142714613,2022-11-01 18:26:23,16.33,31.5,ISTC,No
142714643,2022-11-01 18:26:53,16.42,31.5,ISTC,No
142714676,2022-11-01 18:27:23,16.53,31.5,ISTC,No
142714707,2022-11-01 18:27:53,16.65,31.5,ISTC,No
142714740,2022-11-01 18:28:23,16.79,31.5,ISTC,No
142714771,2022-11-01 18:28:53,16.88,31.5,ISTC,No
142714804,2022-11-01 18:29:23,16.97,31.5,ISTC,No
142714835,2022-11-01 18:29:53,17.1,31.5,ISTC,No
142714869,2022-11-01 18:30:23,17.2,31.5,ISTC,No
142714900,2022-11-01 18:30:53,17.29,31.5,ISTC,No
142714933,2022-11-01 18:31:23,17.38,31.5,ISTC,No
142714964,2022-11-01 18:31:53,17.48,31.5,ISTC,No
142715004,2022-11-01 18:32:25,17.57,31.5,ISTC,No
142715035,2022-11-01 18:32:55,17.66,31.5,ISTC,No
142715071,2022-11-01 18:33:27,17.74,31.5,ISTC,No
142715102,2022-11-01 18:33:57,17.81,31.5,ISTC,No
142715138,2022-11-01 18:34:29,17.89,31.5,ISTC,No
142715169,2022-11-01 18:34:59,17.96,31.2,ISTC,No
142715202,2022-11-01 18:35:30,18.03,31.2,ISTC,No
142715234,2022-11-01 18:36:00,18.09,31.2,ISTC,No
142715268,2022-11-01 18:36:32,18.16,31.2,ISTC,No
142715299,2022-11-01 18:37:02,18.21,31.2,ISTC,No
142715331,2022-11-01 18:37:34,18.25,31.2,ISTC,No
142715362,2022-11-01 18:38:04,18.31,31.2,ISTC,No
142715395,2022-11-01 18:38:34,18.34,31.2,ISTC,No
142715426,2022-11-01 18:39:04,18.39,31.2,ISTC,No
142715459,2022-11-01 18:39:34,18.42,31.2,ISTC,No
142715492,2022-11-01 18:40:05,18.45,31.2,ISTC,No
142715525,2022-11-01 18:40:35,18.48,31.2,ISTC,No
142715559,2022-11-01 18:41:07,18.51,31.2,ISTC,No
142715591,2022-11-01 18:41:37,18.51,31.2,ISTC,No
142715622,2022-11-01 18:42:07,18.54,31.2,ISTC,No
142715655,2022-11-01 18:42:37,18.57,30.9,ISTC,No
142715686,2022-11-01 18:43:07,18.58,31.2,ISTC,No
142715718,2022-11-01 18:43:37,18.61,31.2,ISTC,No
142715749,2022-11-01 18:44:07,18.63,31.2,ISTC,No
142715783,2022-11-01 18:44:37,18.64,31.2,ISTC,No
142715815,2022-11-01 18:45:07,18.65,31.2,ISTC,No
142715846,2022-11-01 18:45:37,18.67,31.2,ISTC,No
142715883,2022-11-01 18:46:09,18.67,31.2,ISTC,No
142715915,2022-11-01 18:46:39,18.69,31.2,ISTC,No
142715946,2022-11-01 18:47:09,18.69,31.2,ISTC,No
142715978,2022-11-01 18:47:39,18.69,31.2,ISTC,No
142716010,2022-11-01 18:48:09,18.7,31.2,ISTC,No
142716042,2022-11-01 18:48:39,18.7,31.2,ISTC,No
142716073,2022-11-01 18:49:09,18.71,31.2,ISTC,No
142716106,2022-11-01 18:49:39,18.71,31.2,ISTC,No
142716139,2022-11-01 18:50:09,18.71,31.2,ISTC,No
142716171,2022-11-01 18:50:39,18.71,30.9,ISTC,No
142716203,2022-11-01 18:51:09,18.71,30.9,ISTC,No
142716235,2022-11-01 18:51:39,18.71,30.9,ISTC,No
142716267,2022-11-01 18:52:09,18.7,30.9,ISTC,No
142716299,2022-11-01 18:52:39,18.71,30.9,ISTC,No
142716330,2022-11-01 18:53:09,18.7,30.9,ISTC,No
142716362,2022-11-01 18:53:39,18.71,30.9,ISTC,No
142716394,2022-11-01 18:54:09,18.7,30.9,ISTC,No
142716425,2022-11-01 18:54:39,18.7,30.9,ISTC,No
142716457,2022-11-01 18:55:09,18.7,30.9,ISTC,No
142716489,2022-11-01 18:55:39,18.7,30.9,ISTC,No
142716522,2022-11-01 18:56:09,18.7,30.9,ISTC,No
142716554,2022-11-01 18:56:39,18.71,30.9,ISTC,No
142716585,2022-11-01 18:57:09,18.7,30.9,ISTC,No
142716617,2022-11-01 18:57:39,18.7,30.9,ISTC,No
142716649,2022-11-01 18:58:09,18.7,30.9,ISTC,No
142716681,2022-11-01 18:58:39,18.7,30.9,ISTC,No
