id,received_adjusted,nsb,temperature,device_code,full_moon
145455776,2022-12-01 18:00:23,14.53,32.5,ISTC,No
145455810,2022-12-01 18:00:53,14.57,32.5,ISTC,No
145455843,2022-12-01 18:01:23,14.61,32.5,ISTC,No
145455878,2022-12-01 18:01:53,14.85,32.5,ISTC,No
145455912,2022-12-01 18:02:23,15.1,32.5,ISTC,No
145455946,2022-12-01 18:02:53,15.28,32.5,ISTC,No
145455980,2022-12-01 18:03:23,15.3,32.5,ISTC,No
145456013,2022-12-01 18:03:53,15.28,32.5,ISTC,No
145456048,2022-12-01 18:04:23,15.3,32.5,ISTC,No
145456081,2022-12-01 18:04:53,15.45,32.5,ISTC,No
145456117,2022-12-01 18:05:23,15.67,32.5,ISTC,No
145456151,2022-12-01 18:05:53,15.71,32.5,ISTC,No
145456186,2022-12-01 18:06:23,15.74,32.5,ISTC,No
145456220,2022-12-01 18:06:53,15.84,32.5,ISTC,No
145456255,2022-12-01 18:07:23,15.96,32.5,ISTC,No
145456289,2022-12-01 18:07:53,16.15,32.5,ISTC,No
145456324,2022-12-01 18:08:23,16.37,32.5,ISTC,No
145456357,2022-12-01 18:08:53,16.49,32.5,ISTC,No
145456392,2022-12-01 18:09:23,16.54,32.5,ISTC,No
145456425,2022-12-01 18:09:53,16.6,32.5,ISTC,No
145456462,2022-12-01 18:10:23,16.64,32.5,ISTC,No
145456495,2022-12-01 18:10:53,16.66,32.2,ISTC,No
145456529,2022-12-01 18:11:23,16.75,32.5,ISTC,No
145456563,2022-12-01 18:11:53,16.84,32.2,ISTC,No
145456598,2022-12-01 18:12:23,16.92,32.2,ISTC,No
145456632,2022-12-01 18:12:53,16.96,32.2,ISTC,No
145456666,2022-12-01 18:13:23,17.0,32.2,ISTC,No
145456699,2022-12-01 18:13:53,17.0,32.2,ISTC,No
145456735,2022-12-01 18:14:23,17.03,32.2,ISTC,No
145456769,2022-12-01 18:14:53,17.07,32.2,ISTC,No
145456804,2022-12-01 18:15:23,17.14,32.2,ISTC,No
145456839,2022-12-01 18:15:53,17.18,32.2,ISTC,No
145456874,2022-12-01 18:16:23,17.23,32.2,ISTC,No
145456908,2022-12-01 18:16:53,17.3,32.2,ISTC,No
145456942,2022-12-01 18:17:23,17.36,32.2,ISTC,No
145456976,2022-12-01 18:17:53,17.38,32.2,ISTC,No
145457011,2022-12-01 18:18:23,17.45,32.2,ISTC,No
145457044,2022-12-01 18:18:53,17.46,32.2,ISTC,No
145457078,2022-12-01 18:19:23,17.43,32.2,ISTC,No
145457111,2022-12-01 18:19:53,17.36,32.2,ISTC,No
145457148,2022-12-01 18:20:23,17.23,32.2,ISTC,No
145457181,2022-12-01 18:20:53,17.14,32.2,ISTC,No
145457215,2022-12-01 18:21:23,17.23,32.2,ISTC,No
145457249,2022-12-01 18:21:53,17.2,31.9,ISTC,No
145457284,2022-12-01 18:22:23,17.3,31.9,ISTC,No
145457318,2022-12-01 18:22:53,17.38,31.9,ISTC,No
145457352,2022-12-01 18:23:23,17.43,31.9,ISTC,No
145457384,2022-12-01 18:23:53,17.49,31.9,ISTC,No
145457422,2022-12-01 18:24:23,17.55,31.9,ISTC,No
145457455,2022-12-01 18:24:53,17.64,31.9,ISTC,No
145457491,2022-12-01 18:25:23,17.74,31.9,ISTC,No
145457525,2022-12-01 18:25:53,17.79,31.9,ISTC,No
145457560,2022-12-01 18:26:23,17.81,31.9,ISTC,No
145457594,2022-12-01 18:26:53,17.86,31.9,ISTC,No
145457627,2022-12-01 18:27:23,17.92,31.9,ISTC,No
145457661,2022-12-01 18:27:53,17.96,31.9,ISTC,No
145457696,2022-12-01 18:28:23,17.97,31.9,ISTC,No
145457729,2022-12-01 18:28:53,17.93,31.9,ISTC,No
145457763,2022-12-01 18:29:23,17.88,31.9,ISTC,No
145457797,2022-12-01 18:29:53,17.81,31.9,ISTC,No
145457834,2022-12-01 18:30:23,17.84,31.9,ISTC,No
145457867,2022-12-01 18:30:53,17.92,31.9,ISTC,No
145457901,2022-12-01 18:31:23,17.75,31.9,ISTC,No
145457935,2022-12-01 18:31:53,17.84,31.9,ISTC,No
145457970,2022-12-01 18:32:23,17.75,31.9,ISTC,No
145458004,2022-12-01 18:32:53,17.74,31.5,ISTC,No
145458038,2022-12-01 18:33:23,17.81,31.9,ISTC,No
145458071,2022-12-01 18:33:53,17.75,31.5,ISTC,No
145458107,2022-12-01 18:34:23,17.69,31.5,ISTC,No
145458140,2022-12-01 18:34:53,17.82,31.5,ISTC,No
145458175,2022-12-01 18:35:23,17.92,31.5,ISTC,No
145458209,2022-12-01 18:35:53,17.92,31.5,ISTC,No
145458244,2022-12-01 18:36:23,17.92,31.5,ISTC,No
145458278,2022-12-01 18:36:53,17.86,31.5,ISTC,No
145458311,2022-12-01 18:37:23,17.82,31.5,ISTC,No
145458346,2022-12-01 18:37:53,17.75,31.5,ISTC,No
145458381,2022-12-01 18:38:23,17.66,31.5,ISTC,No
145458414,2022-12-01 18:38:53,17.53,31.5,ISTC,No
145458448,2022-12-01 18:39:23,17.43,31.5,ISTC,No
145458482,2022-12-01 18:39:53,17.38,31.5,ISTC,No
145458519,2022-12-01 18:40:23,17.38,31.5,ISTC,No
145458552,2022-12-01 18:40:53,17.38,31.5,ISTC,No
145458587,2022-12-01 18:41:23,17.37,31.5,ISTC,No
145458621,2022-12-01 18:41:53,17.24,31.5,ISTC,No
145458656,2022-12-01 18:42:23,17.23,31.5,ISTC,No
145458690,2022-12-01 18:42:53,17.23,31.5,ISTC,No
145458724,2022-12-01 18:43:23,17.29,31.5,ISTC,No
145458756,2022-12-01 18:43:53,17.32,31.5,ISTC,No
145458792,2022-12-01 18:44:23,17.35,31.5,ISTC,No
145458826,2022-12-01 18:44:53,17.3,31.5,ISTC,No
145458861,2022-12-01 18:45:23,17.3,31.5,ISTC,No
145458894,2022-12-01 18:45:53,17.32,31.5,ISTC,No
145458929,2022-12-01 18:46:23,17.33,31.5,ISTC,No
145458963,2022-12-01 18:46:53,17.38,31.5,ISTC,No
145458997,2022-12-01 18:47:23,17.4,31.5,ISTC,No
145459031,2022-12-01 18:47:53,17.4,31.5,ISTC,No
145459066,2022-12-01 18:48:23,17.44,31.5,ISTC,No
145459099,2022-12-01 18:48:53,17.49,31.5,ISTC,No
145459133,2022-12-01 18:49:23,17.55,31.5,ISTC,No
145459166,2022-12-01 18:49:53,17.64,31.5,ISTC,No
145459203,2022-12-01 18:50:23,17.7,31.5,ISTC,No
145459236,2022-12-01 18:50:53,17.74,31.5,ISTC,No
145459271,2022-12-01 18:51:23,17.74,31.5,ISTC,No
145459305,2022-12-01 18:51:53,17.74,31.5,ISTC,No
145459340,2022-12-01 18:52:23,17.68,31.5,ISTC,No
145459374,2022-12-01 18:52:53,17.7,31.5,ISTC,No
145459408,2022-12-01 18:53:23,17.75,31.5,ISTC,No
145459441,2022-12-01 18:53:53,17.89,31.5,ISTC,No
145459477,2022-12-01 18:54:23,18.06,31.5,ISTC,No
145459510,2022-12-01 18:54:53,18.17,31.5,ISTC,No
145459546,2022-12-01 18:55:23,18.21,31.5,ISTC,No
145459579,2022-12-01 18:55:53,18.22,31.5,ISTC,No
145459614,2022-12-01 18:56:23,18.23,31.5,ISTC,No
145459648,2022-12-01 18:56:53,18.23,31.5,ISTC,No
145459682,2022-12-01 18:57:23,18.22,31.5,ISTC,No
145459716,2022-12-01 18:57:53,18.23,31.5,ISTC,No
145459752,2022-12-01 18:58:23,18.22,31.5,ISTC,No
145459785,2022-12-01 18:58:53,18.22,31.2,ISTC,No
145459819,2022-12-01 18:59:23,18.21,31.5,ISTC,No
145459854,2022-12-01 18:59:53,18.19,31.5,ISTC,No
145459891,2022-12-01 19:00:23,18.19,31.5,ISTC,No
145459924,2022-12-01 19:00:53,18.19,31.5,ISTC,No
145459958,2022-12-01 19:01:23,18.21,31.5,ISTC,No
145459992,2022-12-01 19:01:53,18.19,31.5,ISTC,No
145460027,2022-12-01 19:02:23,18.19,31.5,ISTC,No
145460061,2022-12-01 19:02:53,18.18,31.5,ISTC,No
145460095,2022-12-01 19:03:23,18.17,31.5,ISTC,No
145460128,2022-12-01 19:03:53,17.79,31.5,ISTC,No
145460163,2022-12-01 19:04:23,18.16,31.5,ISTC,No
145460196,2022-12-01 19:04:53,18.16,31.5,ISTC,No
145460232,2022-12-01 19:05:23,18.16,31.5,ISTC,No
145460265,2022-12-01 19:05:53,18.16,31.2,ISTC,No
145460300,2022-12-01 19:06:23,18.16,31.2,ISTC,No
145460335,2022-12-01 19:06:53,18.15,31.2,ISTC,No
145460369,2022-12-01 19:07:23,18.15,31.2,ISTC,No
145460403,2022-12-01 19:07:53,18.13,31.2,ISTC,No
145460438,2022-12-01 19:08:23,18.14,31.2,ISTC,No
145460472,2022-12-01 19:08:53,18.14,31.2,ISTC,No
145460507,2022-12-01 19:09:23,18.13,31.2,ISTC,No
145460540,2022-12-01 19:09:53,18.14,31.2,ISTC,No
145460577,2022-12-01 19:10:23,18.13,31.2,ISTC,No
145460610,2022-12-01 19:10:53,18.14,31.2,ISTC,No
145460644,2022-12-01 19:11:23,18.14,31.2,ISTC,No
145460678,2022-12-01 19:11:53,18.14,31.2,ISTC,No
145460713,2022-12-01 19:12:23,18.12,31.2,ISTC,No
145460747,2022-12-01 19:12:53,18.12,31.2,ISTC,No
145460781,2022-12-01 19:13:23,18.12,31.2,ISTC,No
145460814,2022-12-01 19:13:53,18.12,31.2,ISTC,No
145460849,2022-12-01 19:14:23,18.1,31.2,ISTC,No
145460883,2022-12-01 19:14:53,18.1,31.2,ISTC,No
145460919,2022-12-01 19:15:23,18.09,31.2,ISTC,No
145460952,2022-12-01 19:15:53,18.09,31.2,ISTC,No
145460987,2022-12-01 19:16:23,18.09,31.2,ISTC,No
145461022,2022-12-01 19:16:53,18.08,31.2,ISTC,No
145461056,2022-12-01 19:17:23,18.08,31.2,ISTC,No
145461090,2022-12-01 19:17:53,18.05,31.2,ISTC,No
145461125,2022-12-01 19:18:23,18.06,31.2,ISTC,No
145461158,2022-12-01 19:18:53,18.05,31.2,ISTC,No
145461191,2022-12-01 19:19:23,18.04,31.2,ISTC,No
145461225,2022-12-01 19:19:53,18.03,31.2,ISTC,No
145461262,2022-12-01 19:20:23,18.02,31.2,ISTC,No
145461295,2022-12-01 19:20:53,18.02,30.9,ISTC,No
145461329,2022-12-01 19:21:23,18.01,31.2,ISTC,No
145461363,2022-12-01 19:21:53,18.01,31.2,ISTC,No
145461398,2022-12-01 19:22:23,18.01,31.2,ISTC,No
145461432,2022-12-01 19:22:53,17.99,31.2,ISTC,No
145461466,2022-12-01 19:23:23,17.99,30.9,ISTC,No
145461500,2022-12-01 19:23:53,17.99,31.2,ISTC,No
145461536,2022-12-01 19:24:23,17.98,30.9,ISTC,No
145461569,2022-12-01 19:24:53,17.97,31.2,ISTC,No
145461605,2022-12-01 19:25:23,17.97,31.2,ISTC,No
145461638,2022-12-01 19:25:53,17.97,31.2,ISTC,No
145461673,2022-12-01 19:26:23,17.97,31.2,ISTC,No
145461707,2022-12-01 19:26:53,17.97,31.2,ISTC,No
145461741,2022-12-01 19:27:23,17.97,31.2,ISTC,No
145461775,2022-12-01 19:27:53,17.97,31.2,ISTC,No
145461810,2022-12-01 19:28:23,17.96,31.2,ISTC,No
145461843,2022-12-01 19:28:53,17.96,31.2,ISTC,No
145461877,2022-12-01 19:29:23,17.96,31.2,ISTC,No
145461911,2022-12-01 19:29:53,17.94,31.2,ISTC,No
145461948,2022-12-01 19:30:23,17.96,31.2,ISTC,No
145461981,2022-12-01 19:30:53,17.96,31.2,ISTC,No
145462015,2022-12-01 19:31:23,17.94,31.2,ISTC,No
145462049,2022-12-01 19:31:53,17.94,31.2,ISTC,No
145462085,2022-12-01 19:32:23,17.93,31.2,ISTC,No
145462118,2022-12-01 19:32:53,17.93,31.2,ISTC,No
145462152,2022-12-01 19:33:23,17.92,31.2,ISTC,No
